ano,idade,sexo,area,pop
2000,90 a 94 anos,Homem,Urbana,
2000,95 a 99 anos,Homem,Urbana,
2000,100 anos ou mais,Homem,Urbana,
2000,Idade ignorada,Homem,Urbana,
2000,0 a 4 anos,Homem,Rural,1014
2000,Menos de 1 ano,Homem,Rural,222
2000,0 ano,Homem,Rural,
2000,1 ano,Homem,Rural,173
2000,2 anos,Homem,Rural,211
2000,3 anos,Homem,Rural,215
2000,4 anos,Homem,Rural,193
2000,5 a 9 anos,Homem,Rural,993
2000,5 anos,Homem,Rural,212
2000,6 anos,Homem,Rural,161
2000,7 anos,Homem,Rural,253
2000,8 anos,Homem,Rural,207
2000,9 anos,Homem,Rural,159
2000,10 a 14 anos,Homem,Rural,887
2000,10 anos,Homem,Rural,146
2000,11 anos,Homem,Rural,226
2000,12 anos,Homem,Rural,178
2000,13 anos,Homem,Rural,156
2000,14 anos,Homem,Rural,181
2000,15 a 19 anos,Homem,Rural,871
2000,15 anos,Homem,Rural,263
2000,16 anos,Homem,Rural,146
2000,17 anos,Homem,Rural,193
2000,18 anos,Homem,Rural,128
2000,19 anos,Homem,Rural,142
2000,20 a 24 anos,Homem,Rural,788
2000,20 anos,Homem,Rural,209
2000,21 anos,Homem,Rural,178
2000,22 anos,Homem,Rural,133
2000,23 anos,Homem,Rural,122
2000,24 anos,Homem,Rural,146
2000,25 a 29 anos,Homem,Rural,464
2000,30 a 34 anos,Homem,Rural,420
2000,35 a 39 anos,Homem,Rural,466
2000,40 a 44 anos,Homem,Rural,323
